# TILEID  RA      DEC     GALB   STARS  IN_IMAGING
  4929  301.77  -20.41  -25.4  11971  0
   992  315.17  -21.66  -37.6   5490  0
  2346  334.81  -19.31  -54.3   2516  0
  2437  356.69  -20.33  -73.7   1525  0
   618    9.07  -20.28  -82.3   1372  0
   279   27.92  -18.90  -73.9   1220  1
   307   44.97  -18.82  -59.4   1372  1
  1986   60.27  -21.82  -46.8   1753  1
  5009   89.79  -18.18  -19.5   7854  0
  3177  135.17  -21.66   15.9   9150  0
  3156  146.15  -20.26   24.5   5109  0
  3105  155.76  -21.84   29.3   4117  0
  2131  167.38  -20.21   36.6   3202  0
  3476  185.97  -20.31   42.1   3126  0
  3390  203.80  -21.84   39.9   3965  0
  5259  219.65  -18.43   37.6   5032  0
  5247  224.97  -18.82   34.5   6252  0
  2551  248.14  -19.83   18.8  13497  0
   509  307.52   -0.97  -22.3  13268  0
   453  326.20   -0.80  -38.1   4194  1
  5481  349.03    0.57  -54.0   1906  1
   541   10.57    0.57  -62.2   1448  1
  1593   29.19    0.57  -58.2   1448  1
  4319   52.08   -0.97  -44.2   1753  1
  2898   76.52    4.73  -20.9   6557  0
  3846  122.84   -0.95   17.2   8388  0
  3800  139.00    0.57   32.0   2973  1
  5389  161.05    0.57   49.5   1753  1
  2725  187.89    0.57   63.0   1753  1
  3397  206.47    0.57   60.4   2135  1
  5732  227.45   -0.97   46.5   3355  1
   120  248.89    0.57   30.1   8540  1
  1222  267.10    7.31   17.3  23867  0
    87  318.87   26.74  -15.2  17996  0
  5498  340.04   25.83  -28.3   5109  1
  1103  356.47   26.40  -34.2   3278  1
  1605   18.40   28.34  -34.3   2745  1
  1955   40.00   29.49  -27.7   3507  0
  3064   57.24   27.53  -20.7   6329  0
  1819  111.64   30.00   20.2   6329  1
  5358  130.26   25.95   34.6   2516  1
  5331  151.11   27.19   53.0   1448  1
  5454  169.90   26.32   69.5   1220  1
  2984  189.66   26.32   87.0   1220  1
  3901  209.34   24.62   75.0   1525  1
  3935  229.30   25.95   57.5   2058  1
  1209  255.92   27.53   34.6   5109  1
  2449  274.90   33.58   20.8  12124  1
   402   39.24   78.09   16.4   8616  0
   419   88.90   79.94   24.3   4956  0
  1418  162.86   80.76   35.0   2745  1
  3633  228.55   80.04   35.0   2821  1
  1547  295.78   81.58   25.0   4956  0
  1513  342.86   80.76   19.0   7701  0
